Session_Duration (hours),Calories_Burned,Water_Intake (liters),Experience_Level
1.0,1080.9,1.5,2.01
1.37,1809.91,1.9,2.01
0.91,802.26,1.88,1.02
1.1,1450.79,2.5,1.99
1.08,1166.4,2.91,2.0
0.69,453.33,2.91,1.0
1.67,1953.9,2.71,3.0
1.01,727.81,2.88,2.01
1.76,2062.37,3.49,3.02
1.17,1157.25,2.49,1.0
1.69,1974.26,3.49,2.98
1.91,2733.4,3.51,3.01
1.89,2700.62,3.5,2.99
1.64,2345.2,2.71,3.0
0.75,743.85,3.59,1.02
1.2,1293.84,2.3,1.98
1.87,2189.58,2.69,3.01
1.36,1305.6,2.09,2.0
0.81,803.36,1.58,1.02
1.17,1544.4,2.51,2.0
1.04,1123.2,2.39,2.0
1.7,1326.0,3.51,3.0
1.27,1214.12,1.82,1.95
1.76,1831.81,3.48,3.01
1.09,1177.2,2.72,2.0
1.48,1067.38,3.39,2.02
1.33,1277.86,2.28,2.01
0.9,792.0,2.41,1.0
1.4,1848.0,2.02,2.0
1.9,2226.42,2.72,3.02
1.15,827.31,2.8,1.99
1.38,1324.8,3.1,2.0
1.1,790.68,2.09,1.98
1.78,2545.4,2.7,3.0
1.49,1072.8,2.8,2.0
1.63,1902.7,3.5,2.97
1.33,1607.84,2.91,1.0
0.74,895.4,2.7,1.0
1.37,1311.91,2.11,1.97
1.8,2577.96,3.5,3.02
0.86,566.57,3.32,1.0
1.4,1849.54,2.0,2.01
1.5,1818.3,1.51,1.02
1.19,786.11,3.42,1.01
1.4,1003.8,2.21,1.95
1.74,2490.11,3.47,3.01
1.8,2575.98,3.5,3.01
1.15,1011.08,2.6,1.0
1.55,1209.0,2.71,3.0
1.26,1248.53,2.49,1.01
1.68,1308.38,3.5,2.98
1.72,1787.42,2.7,2.99
1.24,1499.04,2.02,1.0
1.39,999.97,2.29,1.99
1.2,1296.0,2.01,2.0
0.55,665.5,2.21,1.0
1.96,2039.97,2.7,3.01
1.01,1092.62,2.42,2.02
1.69,2420.42,2.71,3.02
1.75,2052.22,3.5,3.03
1.66,1727.73,2.71,3.01
1.48,1065.6,2.22,2.0
1.0,960.8,2.2,2.01
1.16,1147.36,2.51,1.0
1.77,1842.22,3.49,3.01
1.33,1438.79,1.79,2.02
1.15,1012.92,2.21,1.01
1.49,1073.69,2.0,2.01
1.36,1467.58,3.4,1.99
1.96,2807.11,3.5,3.02
0.97,961.17,2.42,1.01
1.06,1399.2,1.5,2.0
0.66,580.8,2.19,1.0
1.23,1180.8,2.18,2.0
0.73,481.8,1.88,1.0
1.74,1810.99,3.51,3.01
1.49,1431.59,2.8,2.01
1.26,1211.62,3.0,2.02
0.63,415.42,1.69,1.0
1.98,2060.78,3.5,3.01
1.79,2097.52,2.69,3.02
1.48,1950.34,1.51,1.98
1.13,814.28,1.8,2.01
1.18,1038.4,3.2,1.0
1.29,1239.43,3.48,2.01
1.89,2206.2,3.5,2.97
1.93,1507.72,2.7,3.02
1.2,792.72,1.6,1.01
0.82,541.2,1.62,1.0
1.09,784.8,2.0,2.0
