Session_Duration (hours),Calories_Burned,Water_Intake (liters),Experience_Level,Calories_Class,interaction
1.0,1080.9,1.5,2.01,1,2.01
1.37,1809.91,1.9,2.01,1,2.7537
0.91,802.26,1.88,1.02,1,0.9282
1.1,1450.79,2.5,1.99,1,2.189
1.08,1166.4,2.91,2.0,1,2.16
0.69,453.33,2.91,1.0,1,0.69
1.67,1953.9,2.71,3.0,1,5.01
1.01,727.81,2.88,2.01,1,2.0301
1.76,2062.37,3.49,3.02,1,5.3152
1.17,1157.25,2.49,1.0,1,1.17
1.69,1974.26,3.49,2.98,1,5.0362
1.91,2733.4,3.51,3.01,1,5.749099999999999
1.89,2700.62,3.5,2.99,1,5.6511000000000005
1.64,2345.2,2.71,3.0,1,4.92
0.75,743.85,3.59,1.02,1,0.765
1.2,1293.84,2.3,1.98,1,2.376
1.87,2189.58,2.69,3.01,1,5.6287
1.36,1305.6,2.09,2.0,1,2.72
0.81,803.36,1.58,1.02,1,0.8262
1.17,1544.4,2.51,2.0,1,2.34
1.04,1123.2,2.39,2.0,1,2.08
1.7,1326.0,3.51,3.0,1,5.1
1.27,1214.12,1.82,1.95,1,2.4765
1.76,1831.81,3.48,3.01,1,5.2976
1.09,1177.2,2.72,2.0,1,2.18
1.48,1067.38,3.39,2.02,1,2.9896
1.33,1277.86,2.28,2.01,1,2.6733
0.9,792.0,2.41,1.0,1,0.9
1.4,1848.0,2.02,2.0,1,2.8
1.9,2226.42,2.72,3.02,1,5.7379999999999995
1.15,827.31,2.8,1.99,1,2.2885
1.38,1324.8,3.1,2.0,1,2.76
1.1,790.68,2.09,1.98,1,2.178
1.78,2545.4,2.7,3.0,1,5.34
1.49,1072.8,2.8,2.0,1,2.98
1.63,1902.7,3.5,2.97,1,4.8411
1.33,1607.84,2.91,1.0,1,1.33
0.74,895.4,2.7,1.0,1,0.74
1.37,1311.91,2.11,1.97,1,2.6989
1.8,2577.96,3.5,3.02,1,5.436
0.86,566.57,3.32,1.0,1,0.86
1.4,1849.54,2.0,2.01,1,2.8139999999999996
1.5,1818.3,1.51,1.02,1,1.53
1.19,786.11,3.42,1.01,1,1.2019
1.4,1003.8,2.21,1.95,1,2.73
1.74,2490.11,3.47,3.01,1,5.237399999999999
1.8,2575.98,3.5,3.01,1,5.418
1.15,1011.08,2.6,1.0,1,1.15
1.55,1209.0,2.71,3.0,1,4.65
1.26,1248.53,2.49,1.01,1,1.2726
1.68,1308.38,3.5,2.98,1,5.0064
1.72,1787.42,2.7,2.99,1,5.1428
1.24,1499.04,2.02,1.0,1,1.24
1.39,999.97,2.29,1.99,1,2.7661
1.2,1296.0,2.01,2.0,1,2.4
0.55,665.5,2.21,1.0,1,0.55
1.96,2039.97,2.7,3.01,1,5.8995999999999995
1.01,1092.62,2.42,2.02,1,2.0402
1.69,2420.42,2.71,3.02,1,5.1038
1.75,2052.22,3.5,3.03,1,5.302499999999999
1.66,1727.73,2.71,3.01,1,4.996599999999999
1.48,1065.6,2.22,2.0,1,2.96
1.0,960.8,2.2,2.01,1,2.01
1.16,1147.36,2.51,1.0,1,1.16
1.77,1842.22,3.49,3.01,1,5.3277
1.33,1438.79,1.79,2.02,1,2.6866000000000003
1.15,1012.92,2.21,1.01,1,1.1615
1.49,1073.69,2.0,2.01,1,2.9948999999999995
1.36,1467.58,3.4,1.99,1,2.7064000000000004
1.96,2807.11,3.5,3.02,1,5.9192
0.97,961.17,2.42,1.01,1,0.9797
1.06,1399.2,1.5,2.0,1,2.12
0.66,580.8,2.19,1.0,1,0.66
1.23,1180.8,2.18,2.0,1,2.46
0.73,481.8,1.88,1.0,1,0.73
1.74,1810.99,3.51,3.01,1,5.237399999999999
1.49,1431.59,2.8,2.01,1,2.9948999999999995
1.26,1211.62,3.0,2.02,1,2.5452
0.63,415.42,1.69,1.0,1,0.63
1.98,2060.78,3.5,3.01,1,5.9597999999999995
1.79,2097.52,2.69,3.02,1,5.4058
1.48,1950.34,1.51,1.98,1,2.9304
1.13,814.28,1.8,2.01,1,2.2712999999999997
1.18,1038.4,3.2,1.0,1,1.18
1.29,1239.43,3.48,2.01,1,2.5928999999999998
1.89,2206.2,3.5,2.97,1,5.6133
1.93,1507.72,2.7,3.02,1,5.8286
1.2,792.72,1.6,1.01,1,1.212
0.82,541.2,1.62,1.0,1,0.82
1.09,784.8,2.0,2.0,1,2.18
1.31,1732.08,2.61,2.02,1,2.6462000000000003
1.68,2400.55,2.69,2.99,1,5.0232
1.28,1382.4,1.8,2.0,1,2.56
1.44,1266.05,2.29,1.0,1,1.44
0.8,792.72,2.19,1.01,1,0.808
1.48,1067.38,2.2,2.02,1,2.9896
1.25,1352.25,2.48,2.02,1,2.525
1.12,1355.2,1.79,1.0,1,1.12
1.31,1298.08,2.42,1.01,1,1.3231000000000002
1.49,1806.18,2.69,1.02,1,1.5198
1.23,810.32,2.71,1.0,1,1.23
0.83,729.07,2.01,1.0,1,0.83
1.48,1597.07,2.31,1.99,1,2.9452
0.54,356.08,3.08,1.0,1,0.54
1.18,1556.3,2.5,1.99,1,2.3482
1.3,1405.17,1.62,2.01,1,2.613
1.97,1538.96,2.68,3.02,1,5.9494
1.26,1665.97,2.62,2.02,1,2.5452
1.21,1160.63,3.49,1.99,1,2.4078999999999997
0.67,663.3,2.31,1.0,1,0.67
1.14,1095.31,2.61,2.01,1,2.2913999999999994
1.17,842.4,3.57,2.0,1,2.34
1.46,1927.2,2.19,2.0,1,2.92
1.09,1178.18,2.11,2.01,1,2.1909
0.86,1040.6,1.51,1.0,1,0.86
1.68,1964.09,2.7,2.99,1,5.0232
1.81,2590.29,3.5,3.01,1,5.4481
1.19,1570.8,1.98,2.0,1,2.38
1.77,1381.66,3.5,3.01,1,5.3277
0.8,968.0,2.21,1.0,1,0.8
1.34,1765.85,2.29,1.98,1,2.6532
1.69,1977.3,3.5,3.0,1,5.07
1.66,1940.71,3.49,2.99,1,4.9634
1.02,979.2,2.73,2.0,1,2.04
1.36,1305.6,2.61,2.0,1,2.72
0.57,689.7,2.0,1.0,1,0.57
1.41,1859.65,2.57,1.99,1,2.8059
1.38,993.6,2.89,2.0,1,2.76
1.45,1920.38,2.91,2.04,1,2.9579999999999997
1.67,2386.26,2.7,2.99,1,4.9933000000000005
1.46,962.72,2.1,1.0,1,1.46
1.25,903.0,3.33,2.04,1,2.55
1.57,2245.1,2.69,3.0,1,4.71
1.15,827.31,1.52,1.99,1,2.2885
1.38,914.11,2.01,1.04,1,1.4352
1.67,2386.26,2.7,2.99,1,4.9933000000000005
1.35,1296.0,2.29,2.0,1,2.7
0.96,634.18,1.58,1.01,1,0.9696
0.84,553.39,2.21,1.0,1,0.84
0.53,640.13,1.8,1.0,1,0.53
0.99,951.19,2.8,2.01,1,1.9898999999999998
1.12,1352.74,2.98,1.0,1,1.12
1.48,975.91,3.51,1.0,1,1.48
